2.00 0.00 76 2021-03-26-12:13:58
                        END
1a:69:6c:c3:d9:24 -67 w | -67-67
0a:74:9c:23:fd:b0 -33 w | -33-28-28
0a:74:9c:23:fd:b1 -31 w | -31
0a:69:6c:eb:09:1f -85 w | -85
1a:69:6c:eb:0b:9c -81 w | -81
1a:69:6c:bc:f9:76 -74 w | -74
1a:74:9c:23:fd:20 -71 w | -71
06:69:6c:eb:03:6d -62 w | -62
06:69:6c:eb:01:8e -74 w | -74
06:74:9c:23:fd:b0 -34 w | -34-28-28
06:74:9c:23:fd:b1 -34 w | -34-36-37
1a:74:9c:25:03:bf -84 w | -84-84
0a:69:6c:eb:01:8e -74 w | -74-75-75
0a:74:9c:23:fd:ed -73 w | -73
06:69:6c:ea:fa:19 -84 w | -84
0a:74:9c:30:bf:3f -82 w | -82-82
0a:69:6c:eb:03:6d -62 w | -62
0a:69:6c:ea:fe:64 -74 w | -74-71-71
1a:69:6c:ea:a2:79 -84 w | -84-84
b0:95:8e:97:21:cd -83 w | -83-83-83
06:69:6c:ea:f9:ba -72 w | -72-69-69
1a:74:9c:23:fd:f8 -78 w | -78
1a:74:9c:23:fd:f9 -80 w | -80-80
06:69:6c:ea:fe:64 -73 w | -73-71-71
2.00  1.00 64 2021-03-27-17:54:41
d1:45:b5:b8:74:ba -80 b | -80-79-78-78-78-78-78-77-78-79-80-78-82
12:3b:6a:1a:93:a7 -99 b | -99-97-97
12:3b:6a:1a:92:c0 -84 b | -84-83-82-82-83-90-90-88
c7:b3:82:c6:c6:05 -77 b | -77-75-76-77-77-77-77-84-82-82-83-84
c0:16:7b:b9:9d:2e -74 b | -74-72-71-72-72-72-72-72-80-79-80-81-83
1a:69:6c:c3:d9:25 -70 w | -70-70-70-70
1a:69:6c:c3:d9:24 -67 w | -67-67-67-67
0a:74:9c:23:fd:b0 -28 w | -28-28-28-28
06:74:9c:23:fd:b0 -28 w | -28-28-28-28
06:74:9c:23:fd:b1 -34 w | -34-34-33-33
1a:74:9c:25:03:bf -84 w | -84-84-84-84
0a:69:6c:eb:01:8e -75 w | -75-75-75-75
0a:74:9c:30:bf:3f -82 w | -82-82-82-82
0a:69:6c:ea:fe:64 -71 w | -71-71-71-71
1a:69:6c:ea:a2:79 -84 w | -84-84-84-84
b0:95:8e:97:21:cd -83 w | -83-83-83-83
06:69:6c:ea:f9:ba -69 w | -69-69-69-69
1a:74:9c:23:fd:f9 -80 w | -80-80-80-80
06:69:6c:ea:fe:64 -71 w | -71-71-71-71
06:74:9c:25:1d:2d -85 w | -85-85-85-85
3c:cd:5d:8f:45:f8 -77 w | -77-77-77-77
0a:74:9c:25:03:bf -84 w | -84-84-84-84
0a:74:9c:25:01:7f -77 w | -77-77-77-77
0a:74:9c:23:fb:34 -82 w | -82-82-82-82
7c:b5:9b:c3:cd:b2 -85 w | -85-85-85-85
1a:74:9c:24:fb:c7 -81 w | -81-81-81-81
0a:69:6c:ea:f9:ba -70 w | -70-70-70-70
1a:69:6c:eb:0b:30 -81 w | -81-81-81-81
06:69:6c:bc:f8:f9 -63 w | -63-63-63-63
1a:69:6c:be:95:71 -71 w | -71-71-71-71
1.00  1.00 119 2021-03-27-17:55:43
d1:45:b5:b8:74:ba -82 b | -82-80-77-78-81-78-79-78-77
12:3b:6a:1a:93:a7 -94 b | -94
c7:b3:82:c6:c6:05 -77 b | -77-75-77-78-80-87-79-80
12:3b:6a:1a:92:c0 -96 b | -96-92-95-95
c0:16:7b:b9:9d:2e -82 b | -82-79-76-76-76-77-77-76-76
1a:69:6c:bc:f9:76 -70 w | -70-70-70
0a:69:6c:ea:fa:19 -83 w | -83-83
06:69:6c:eb:03:6d -58 w | -58-58-56
06:69:6c:c3:d6:95 -81 w | -81
1a:74:9c:23:fb:76 -85 w | -85
06:74:9c:23:fd:f8 -77 w | -77-77-75
0a:74:9c:23:fd:ec -71 w | -71-71
0a:69:6c:eb:03:a3 -81 w | -81-81
06:69:6c:ea:fa:19 -83 w | -83-83
06:69:6c:c3:d6:94 -71 w | -71
0a:74:9c:30:bf:3f -85 w | -85
0a:74:9c:23:fd:f8 -77 w | -77-77-76
0a:74:9c:25:03:be -80 w | -80-80-83
0a:69:6c:eb:03:6d -58 w | -58-58-57
0a:69:6c:ea:fe:64 -73 w | -73-73
06:69:6c:ea:fe:64 -74 w | -74-74
0a:69:6c:bc:f6:e1 -64 w | -64-64-64
0a:74:9c:25:03:bf -76 w | -76-76
0a:69:6c:bc:f6:e2 -70 w | -70-70
06:69:6c:eb:05:1e -66 w | -66-66-70
0a:74:9c:25:01:7f -82 w | -82-82-80
1a:74:9c:25:1d:2c -78 w | -78-78
0a:69:6c:c3:d6:94 -71 w | -71
06:74:9c:25:03:bf -77 w | -77-77
06:69:6c:ea:f9:4d -69 w | -69
0.00  1.00 83 2021-03-27-17:56:17
d1:45:b5:b8:74:ba -82 b | -82-89-80-80-79-78-80
12:3b:6a:1a:93:a7 -96 b | -96-94-92-93-93
c7:b3:82:c6:c6:05 -68 b | -68-69-68-69-68-68-68-69-69-70-70-69-69-69
12:3b:6a:1a:92:c0 -91 b | -91-91-87-87-89-88-96-97
c0:16:7b:b9:9d:2e -80 b | -80-85-85-82-80-81-87-87
1a:69:6c:bc:f9:76 -70 w | -70-70-70-70
06:69:6c:eb:03:6d -56 w | -56-56-56-56
06:69:6c:c3:d6:95 -81 w | -81-81-81-81
1a:74:9c:23:fb:76 -85 w | -85-85-85-85
06:74:9c:23:fd:f8 -75 w | -75-75-75-75
